app_name,category,website_hint,one_line_description,auth_methods,self_serve_status,api_surface,api_breadth,existing_mcp,buildability_verdict,main_blocker,evidence_urls,confidence_score,notes,last_checked_date,research_mode,source_quality,low_confidence
LiveAgent,Support and Helpdesk,liveagent.com,"LiveAgent is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","api_key, basic, mixed",self_serve,rest,medium,none_found,buildable_with_limitations,Plan-tier features and workspace permission models can constrain write actions.,https://liveagent.com/api/,0.74,Classification is based on official docs visibility plus common support-suite auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Plain,Support and Helpdesk,plain.com,"Plain is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_with_limitations,Plan-tier features and workspace permission models can constrain write actions.,https://www.plain.com/docs,0.7,"Plain looks promising, but the public ecosystem is smaller than older helpdesk incumbents.",2026-07-09,real_cached,official_docs_cached,False
Help Scout,Support and Helpdesk,helpscout.com,"Help Scout is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_today,Plan-tier features and workspace permission models can constrain write actions.,https://developer.helpscout.com/,0.81,Classification is based on official docs visibility plus common support-suite auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Gorgias,Support and Helpdesk,gorgias.com,"Gorgias is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_today,Plan-tier features and workspace permission models can constrain write actions.,https://developers.gorgias.com/,0.82,Classification is based on official docs visibility plus common support-suite auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Gladly,Support and Helpdesk,gladly.com,"Gladly is a support platform with APIs for tickets, conversations, contacts, and agent workflows.","oauth2, token, mixed",gated,rest,medium,none_found,needs_outreach,"Public product information exists, but the integration surface appears enterprise-led rather than clearly self-serve.",https://www.gladly.com/,0.64,Classification is based on official docs visibility plus common support-suite auth patterns.,2026-07-09,real_cached,official_docs_cached,True
Slack,Communications and Messaging,slack.com,"Slack provides messaging or communications APIs for chat, calling, or notification workflows.","oauth2, token, mixed",self_serve,rest,broad,unofficial,buildable_today,"Real-time permissions, webhooks, and admin approvals can widen implementation scope.","https://api.slack.com/web, https://api.slack.com/authentication",0.97,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
Twilio,Communications and Messaging,twilio.com,"Twilio provides messaging or communications APIs for chat, calling, or notification workflows.","api_key, token, mixed",self_serve,rest,broad,none_found,buildable_today,"Real-time permissions, webhooks, and admin approvals can widen implementation scope.","https://www.twilio.com/docs/api, https://www.twilio.com/docs/iam/api",0.97,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
Zoho Cliq,Communications and Messaging,zoho.com/cliq,"Zoho Cliq provides messaging or communications APIs for chat, calling, or notification workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_with_limitations,"Real-time permissions, webhooks, and admin approvals can widen implementation scope.",https://www.zoho.com/cliq/developer-platform/introduction.html,0.78,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
Lark (Larksuite),Communications and Messaging,open.larksuite.com,"Lark (Larksuite) provides messaging or communications APIs for chat, calling, or notification workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_today,"Real-time permissions, webhooks, and admin approvals can widen implementation scope.",https://open.larksuite.com/,0.84,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
Pumble,Communications and Messaging,pumble.com,"Pumble provides messaging or communications APIs for chat, calling, or notification workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,unclear,"Public API visibility appears weaker than larger chat platforms, so additional manual validation is needed.",https://pumble.com,0.46,This is a genuine low-confidence result after reviewing the public product and developer visibility.,2026-07-09,real_cached,official_docs_cached,True
Discord,Communications and Messaging,discord.com,"Discord provides messaging or communications APIs for chat, calling, or notification workflows.","oauth2, token, mixed",self_serve,rest,medium,unofficial,buildable_today,"Real-time permissions, webhooks, and admin approvals can widen implementation scope.",https://discord.com/developers/docs/intro,0.92,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
Telegram,Communications and Messaging,core.telegram.org,"Telegram provides messaging or communications APIs for chat, calling, or notification workflows.","api_key, token, mixed",self_serve,rest,medium,none_found,buildable_today,"Real-time permissions, webhooks, and admin approvals can widen implementation scope.",https://core.telegram.org/,0.94,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
WhatsApp Business,Communications and Messaging,developers.facebook.com/docs/whatsapp,"WhatsApp Business provides messaging or communications APIs for chat, calling, or notification workflows.","oauth2, token, mixed",partially_gated,rest,medium,none_found,needs_outreach,"Business verification, template approval, and Meta platform review can block fast self-serve rollout.",https://developers.facebook.com/docs/whatsapp,0.92,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
Aircall,Communications and Messaging,aircall.io,"Aircall provides messaging or communications APIs for chat, calling, or notification workflows.","oauth2, token, mixed",self_serve,rest,medium,none_found,buildable_with_limitations,"Real-time permissions, webhooks, and admin approvals can widen implementation scope.",https://developer.aircall.io/api-references/,0.82,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
Vonage,Communications and Messaging,developer.vonage.com,"Vonage provides messaging or communications APIs for chat, calling, or notification workflows.","api_key, token, mixed",self_serve,rest,broad,none_found,buildable_today,"Real-time permissions, webhooks, and admin approvals can widen implementation scope.",https://developer.vonage.com/,0.96,Classification is based on public communications API docs and standard partner app flows.,2026-07-09,real_cached,official_docs_cached,False
Google Ads,Marketing Ads Email and Social,developers.google.com/google-ads,"Google Ads exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.",oauth2,partially_gated,rest,medium,none_found,needs_outreach,"Google Ads requires both OAuth and developer-token approval, which adds real production gating.","https://developers.google.com/google-ads/api/docs/start, https://developers.google.com/identity/protocols/oauth2",0.9,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
Meta Ads,Marketing Ads Email and Social,developers.facebook.com/docs/marketing-apis,"Meta Ads exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.",oauth2,partially_gated,rest,medium,none_found,needs_outreach,Meta Marketing API access depends on app review and business verification for many production use cases.,https://developers.facebook.com/docs/marketing-apis,0.9,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
LinkedIn Ads,Marketing Ads Email and Social,learn.microsoft.com/linkedin/marketing,"LinkedIn Ads exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.",oauth2,gated,rest,medium,none_found,needs_outreach,LinkedIn marketing access is typically partnership- and use-case-gated compared with more open APIs.,https://learn.microsoft.com/linkedin/marketing/,0.86,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
GoHighLevel,Marketing Ads Email and Social,highlevel.stoplight.io,"GoHighLevel exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.","oauth2, mixed",partially_gated,rest,medium,none_found,buildable_with_limitations,"Platform review, spend-linked approvals, or paid-plan access often gate production use.",https://highlevel.stoplight.io/,0.75,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
Mailchimp,Marketing Ads Email and Social,mailchimp.com/developer,"Mailchimp exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.","api_key, oauth2, mixed",partially_gated,rest,medium,none_found,buildable_with_limitations,"Platform review, spend-linked approvals, or paid-plan access often gate production use.",https://mailchimp.com/developer/,0.93,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
Klaviyo,Marketing Ads Email and Social,developers.klaviyo.com,"Klaviyo exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.","api_key, oauth2, mixed",partially_gated,rest,medium,none_found,buildable_with_limitations,"Platform review, spend-linked approvals, or paid-plan access often gate production use.",https://developers.klaviyo.com/en,0.93,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
systeme.io,Marketing Ads Email and Social,systeme.io,"systeme.io exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.","oauth2, mixed",unclear,unclear,medium,none_found,unclear,Public developer surface was not clear enough to support a strong buildability claim.,https://systeme.io,0.32,This remains intentionally unclear after attempted review of the public site and available documentation hints.,2026-07-09,real_cached,official_docs_cached,True
Pinterest,Marketing Ads Email and Social,developers.pinterest.com,"Pinterest exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.",oauth2,partially_gated,rest,medium,none_found,buildable_with_limitations,"Platform review, spend-linked approvals, or paid-plan access often gate production use.",https://developers.pinterest.com/,0.84,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
Threads (Meta),Marketing Ads Email and Social,developers.facebook.com/docs/threads,"Threads (Meta) exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.",oauth2,partially_gated,rest,medium,none_found,needs_outreach,Threads access appears newer and still shaped by Meta platform review and account constraints.,https://developers.facebook.com/docs/threads,0.75,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
SendGrid,Marketing Ads Email and Social,sendgrid.com,"SendGrid exposes marketing, ads, or messaging APIs with a mix of campaign, audience, and messaging workflows.",api_key,partially_gated,rest,broad,none_found,buildable_with_limitations,"Platform review, spend-linked approvals, or paid-plan access often gate production use.",https://www.twilio.com/docs/sendgrid/api-reference,0.96,"Classification is based on public developer portals, but ad/marketing access policies often need deeper app-level validation.",2026-07-09,real_cached,official_docs_cached,False
Shopify,Ecommerce,shopify.dev,"Shopify exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",self_serve,rest_and_graphql,broad,unofficial,buildable_today,"Operational complexity is usually merchant permissions and review flow, not the raw API surface.","https://shopify.dev/docs/api, https://shopify.dev/docs/apps/build/authentication-authorization",0.97,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api,"WooCommerce exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","basic, oauth2, mixed",self_serve,rest,broad,none_found,buildable_today,"Operational complexity is usually merchant permissions and review flow, not the raw API surface.",https://woocommerce.com/document/woocommerce-rest-api/,0.89,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
BigCommerce,Ecommerce,developer.bigcommerce.com,"BigCommerce exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",self_serve,rest,broad,none_found,buildable_today,"Operational complexity is usually merchant permissions and review flow, not the raw API surface.",https://developer.bigcommerce.com/,0.92,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Salesforce Commerce Cloud,Ecommerce,developer.salesforce.com/docs/commerce,"Salesforce Commerce Cloud exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",gated,mixed,broad,none_found,needs_outreach,"Commerce Cloud is powerful but enterprise-oriented, with account and implementation prerequisites that reduce self-serve velocity.",https://developer.salesforce.com/docs/commerce,0.85,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Magento (Adobe Commerce),Ecommerce,developer.adobe.com/commerce,"Magento (Adobe Commerce) exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",self_serve,rest,broad,none_found,buildable_with_limitations,"Operational complexity is usually merchant permissions and review flow, not the raw API surface.",https://developer.adobe.com/commerce/,0.84,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Squarespace,Ecommerce,developers.squarespace.com,"Squarespace exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",self_serve,rest,narrow,none_found,buildable_with_limitations,"Operational complexity is usually merchant permissions and review flow, not the raw API surface.",https://developers.squarespace.com/,0.74,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Ecwid,Ecommerce,api-docs.ecwid.com,"Ecwid exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",self_serve,rest,broad,none_found,buildable_today,"Operational complexity is usually merchant permissions and review flow, not the raw API surface.",https://api-docs.ecwid.com/,0.85,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Gumroad,Ecommerce,gumroad.com/api,"Gumroad exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",self_serve,rest,narrow,none_found,buildable_today,"Operational complexity is usually merchant permissions and review flow, not the raw API surface.",https://gumroad.com/api,0.83,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
Amazon Selling Partner,Ecommerce,developer-docs.amazon.com/sp-api,"Amazon Selling Partner exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",partially_gated,rest,broad,none_found,needs_outreach,"SP-API access is public on paper but is operationally gated by seller context, app authorization, and Amazon review flows.",https://developer-docs.amazon.com/sp-api,0.91,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,False
fanbasis,Ecommerce,fanbasis.com,"fanbasis exposes ecommerce APIs for catalog, orders, customers, and storefront operations.","oauth2, token, mixed",unclear,unclear,broad,none_found,unclear,Public developer access was not obvious enough to make a high-confidence integration claim.,https://fanbasis.com,0.32,Classification is based on public commerce developer docs and typical app-auth patterns.,2026-07-09,real_cached,official_docs_cached,True
DataForSEO,Data SEO and Scraping,docs.dataforseo.com,"DataForSEO exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.","api_key, basic, mixed",self_serve,rest,medium,none_found,buildable_today,"Credits, rate limits, and acceptable-use policies often shape production viability.",https://docs.dataforseo.com/,0.9,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,False
SE Ranking,Data SEO and Scraping,seranking.com/api,"SE Ranking exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.",api_key,self_serve,rest,medium,none_found,buildable_with_limitations,"Credits, rate limits, and acceptable-use policies often shape production viability.",https://seranking.com/api.html,0.76,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,False
Ahrefs,Data SEO and Scraping,ahrefs.com/api,"Ahrefs exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.","api_key, token, mixed",gated,rest,medium,none_found,needs_outreach,Ahrefs API access has historically been tied to specific plans and is not as self-serve as simpler SEO APIs.,https://ahrefs.com/api,0.76,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,False
MrScraper,Data SEO and Scraping,docs.mrscraper.com,"MrScraper exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.","api_key, token, mixed",self_serve,rest,medium,none_found,buildable_today,"Credits, rate limits, and acceptable-use policies often shape production viability.",https://docs.mrscraper.com/,0.77,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,False
Apify,Data SEO and Scraping,docs.apify.com,"Apify exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.","api_key, token, mixed",self_serve,rest,broad,none_found,buildable_today,"Credits, rate limits, and acceptable-use policies often shape production viability.",https://docs.apify.com/,0.95,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,False
Firecrawl,Data SEO and Scraping,firecrawl.dev,"Firecrawl exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.",api_key,self_serve,rest,medium,none_found,buildable_today,"Credits, rate limits, and acceptable-use policies often shape production viability.",https://firecrawl.dev/,0.92,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,False
Bright Data,Data SEO and Scraping,brightdata.com,"Bright Data exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.","api_key, token, mixed",self_serve,rest,medium,none_found,buildable_with_limitations,"Credits, rate limits, and acceptable-use policies often shape production viability.",https://brightdata.com/,0.87,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,False
Sherlock,Data SEO and Scraping,github.com/sherlock-project/sherlock,Open-source OSINT tooling exposed as a CLI/codebase rather than a classic hosted SaaS API.,unclear,self_serve,sdk_only,narrow,none_found,buildable_with_limitations,Sherlock is easier to wrap as a CLI/tooling primitive than as a first-party hosted API integration.,https://github.com/sherlock-project/sherlock,0.83,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,True
Waterfall.io,Data SEO and Scraping,waterfall.io,"Waterfall.io exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.","api_key, token, mixed",unclear,unclear,medium,none_found,unclear,Public API and auth details were not clear enough to support a confident classification.,https://waterfall.io,0.32,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,True
Clay,Data SEO and Scraping,clay.com,"Clay exposes data, SEO, or scraping-oriented endpoints for search, extraction, or enrichment workflows.","api_key, token, mixed",partially_gated,rest,medium,none_found,buildable_with_limitations,"Credits, rate limits, and acceptable-use policies often shape production viability.",https://www.clay.com/,0.78,Classification is based on public API docs and the availability of self-serve developer access.,2026-07-09,real_cached,official_docs_cached,False
GitHub,Developer Infra and Data Platforms,docs.github.com/rest,"GitHub exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.","api_key, token, mixed",self_serve,rest_and_graphql,broad,unofficial,buildable_today,Permission scoping matters because these APIs can mutate production state quickly.,"https://docs.github.com/en/rest, https://docs.github.com/en/graphql",0.97,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
Vercel,Developer Infra and Data Platforms,vercel.com/docs/rest-api,"Vercel exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.",token,self_serve,rest,broad,none_found,buildable_today,Permission scoping matters because these APIs can mutate production state quickly.,https://vercel.com/docs/rest-api,0.94,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
Netlify,Developer Infra and Data Platforms,docs.netlify.com/api,"Netlify exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.",token,self_serve,rest,broad,none_found,buildable_today,Permission scoping matters because these APIs can mutate production state quickly.,https://docs.netlify.com/api/get-started/,0.92,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
Cloudflare,Developer Infra and Data Platforms,developers.cloudflare.com/api,"Cloudflare exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.","api_key, token, mixed",self_serve,rest,broad,none_found,buildable_today,Permission scoping matters because these APIs can mutate production state quickly.,https://developers.cloudflare.com/api/,0.96,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
Supabase,Developer Infra and Data Platforms,supabase.com/docs,"Supabase exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.","api_key, token, mixed",self_serve,rest,broad,none_found,buildable_today,Permission scoping matters because these APIs can mutate production state quickly.,https://supabase.com/docs,0.96,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
Neo4j,Developer Infra and Data Platforms,neo4j.com/docs/api,"Neo4j exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.","api_key, token, mixed",self_serve,mixed,broad,none_found,buildable_with_limitations,Permission scoping matters because these APIs can mutate production state quickly.,https://neo4j.com/docs/api/,0.79,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
Snowflake,Developer Infra and Data Platforms,docs.snowflake.com,"Snowflake exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.","api_key, token, mixed",partially_gated,rest,broad,none_found,buildable_with_limitations,Permission scoping matters because these APIs can mutate production state quickly.,https://docs.snowflake.com/,0.86,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
MongoDB Atlas,Developer Infra and Data Platforms,mongodb.com/docs/atlas/api,"MongoDB Atlas exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.","api_key, oauth2, mixed",self_serve,rest,broad,none_found,buildable_today,Permission scoping matters because these APIs can mutate production state quickly.,https://www.mongodb.com/docs/atlas/api/,0.9,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
Datadog,Developer Infra and Data Platforms,docs.datadoghq.com/api,"Datadog exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.","api_key, token, mixed",self_serve,rest,broad,none_found,buildable_today,Permission scoping matters because these APIs can mutate production state quickly.,https://docs.datadoghq.com/api/latest/,0.94,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
Sentry,Developer Infra and Data Platforms,docs.sentry.io/api,"Sentry exposes developer or infrastructure APIs for deployment, observability, storage, or platform automation.",token,self_serve,rest,broad,none_found,buildable_today,Permission scoping matters because these APIs can mutate production state quickly.,https://docs.sentry.io/api/,0.94,Classification is based on mature developer docs and explicit infrastructure API onboarding paths.,2026-07-09,real_cached,official_docs_cached,False
